Name,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
1Tom BradyTB,QB,17.0,485.0,719.0,67.5,5316.0,7.4,312.7,62.0,43.0,12.0,22.0,144.0,68.1,102.1
2Justin HerbertLAC,QB,17.0,443.0,672.0,65.9,5014.0,7.5,294.9,72.0,38.0,15.0,31.0,214.0,65.6,97.7
3Matthew StaffordLAR,QB,17.0,404.0,601.0,67.2,4886.0,8.1,287.4,79.0,41.0,17.0,30.0,243.0,63.8,102.9
4Patrick MahomesKC,QB,17.0,436.0,658.0,66.3,4839.0,7.4,284.6,75.0,37.0,13.0,28.0,146.0,62.2,98.5
5Derek CarrLV,QB,17.0,428.0,626.0,68.4,4804.0,7.7,282.6,61.0,23.0,14.0,40.0,241.0,52.4,94.0
6Joe BurrowCIN,QB,16.0,366.0,520.0,70.4,4611.0,8.9,288.2,82.0,34.0,14.0,51.0,370.0,54.3,108.3
7Dak PrescottDAL,QB,16.0,410.0,596.0,68.8,4449.0,7.5,278.1,51.0,37.0,10.0,30.0,144.0,54.6,104.2
8Josh AllenBUF,QB,17.0,409.0,646.0,63.3,4407.0,6.8,259.2,61.0,36.0,15.0,26.0,164.0,60.7,92.2
9Kirk CousinsMIN,QB,16.0,372.0,561.0,66.3,4221.0,7.5,263.8,64.0,33.0,7.0,28.0,197.0,52.3,103.1
10Aaron RodgersGB,QB,16.0,366.0,531.0,68.9,4115.0,7.8,257.2,75.0,37.0,4.0,30.0,188.0,69.1,111.9
11Matt RyanATL,QB,17.0,375.0,560.0,67.0,3968.0,7.1,233.4,64.0,20.0,12.0,40.0,274.0,46.1,90.4
12Jimmy GaroppoloSF,QB,15.0,301.0,441.0,68.3,3810.0,8.6,254.0,83.0,20.0,12.0,29.0,201.0,53.3,98.7
13Mac JonesNE,QB,17.0,352.0,521.0,67.6,3801.0,7.3,223.6,75.0,22.0,13.0,28.0,241.0,50.9,92.5
14Kyler MurrayARI,QB,14.0,333.0,481.0,69.2,3787.0,7.9,270.5,77.0,24.0,10.0,31.0,286.0,57.3,100.6
15Ben RoethlisbergerPIT,QB,16.0,390.0,605.0,64.5,3740.0,6.2,233.8,59.0,22.0,10.0,38.0,239.0,35.6,86.8
16Ryan TannehillTEN,QB,17.0,357.0,531.0,67.2,3734.0,7.0,219.6,57.0,21.0,14.0,47.0,327.0,55.9,89.6
17Trevor LawrenceJAX,QB,17.0,359.0,602.0,59.6,3641.0,6.0,214.2,58.0,12.0,17.0,32.0,238.0,33.5,71.9
18Carson WentzIND,QB,17.0,322.0,516.0,62.4,3563.0,6.9,209.6,76.0,27.0,7.0,32.0,227.0,54.7,94.6
19Taylor HeinickeWSH,QB,16.0,321.0,494.0,65.0,3419.0,6.9,213.7,73.0,20.0,15.0,38.0,278.0,39.9,85.9
20Jared GoffDET,QB,14.0,332.0,494.0,67.2,3245.0,6.6,231.8,63.0,19.0,8.0,35.0,280.0,39.5,91.5
21Jalen HurtsPHI,QB,15.0,265.0,432.0,61.3,3144.0,7.3,209.6,91.0,16.0,9.0,26.0,150.0,48.5,87.2
22Russell WilsonSEA,QB,14.0,259.0,400.0,64.8,3113.0,7.8,222.4,69.0,25.0,6.0,33.0,266.0,54.7,103.1
23Teddy BridgewaterDEN,QB,14.0,285.0,426.0,66.9,3052.0,7.2,218.0,64.0,18.0,7.0,31.0,211.0,47.4,94.9
