Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1Cooper KuppLAR,WR,17.0,145.0,191.0,1947.0,13.4,16.0,59.0,30.0,114.5,0.0,0.0,846.0,89.0
2Justin JeffersonMIN,WR,17.0,108.0,167.0,1616.0,15.0,10.0,56.0,27.0,95.1,1.0,1.0,482.0,75.0
3Davante AdamsGB,WR,16.0,123.0,169.0,1553.0,12.6,11.0,59.0,19.0,97.1,0.0,0.0,604.0,84.0
4Ja'Marr ChaseCIN,WR,17.0,81.0,128.0,1455.0,18.0,13.0,82.0,22.0,85.6,2.0,1.0,651.0,56.0
5Deebo SamuelSF,WR,16.0,77.0,121.0,1405.0,18.2,6.0,83.0,23.0,87.8,4.0,2.0,780.0,51.0
6Mark AndrewsBAL,TE,17.0,107.0,153.0,1361.0,12.7,9.0,43.0,20.0,80.1,1.0,0.0,458.0,75.0
7Tyreek HillKC,WR,17.0,111.0,159.0,1239.0,11.2,9.0,75.0,13.0,72.9,2.0,1.0,444.0,75.0
8Stefon DiggsBUF,WR,17.0,103.0,164.0,1225.0,11.9,10.0,61.0,12.0,72.1,1.0,0.0,326.0,66.0
9Tyler LockettSEA,WR,16.0,73.0,107.0,1175.0,16.1,8.0,69.0,22.0,73.4,0.0,0.0,277.0,41.0
10Diontae JohnsonPIT,WR,16.0,107.0,169.0,1161.0,10.9,8.0,50.0,14.0,72.6,2.0,2.0,527.0,59.0
11DJ MooreCAR,WR,17.0,93.0,163.0,1157.0,12.4,4.0,64.0,16.0,68.1,1.0,1.0,426.0,60.0
12Mike WilliamsLAC,WR,16.0,76.0,129.0,1146.0,15.1,9.0,72.0,17.0,71.6,0.0,0.0,415.0,51.0
13Keenan AllenLAC,WR,16.0,106.0,157.0,1138.0,10.7,6.0,42.0,12.0,71.1,1.0,0.0,337.0,66.0
14Travis KelceKC,TE,16.0,92.0,134.0,1125.0,12.2,9.0,69.0,13.0,70.3,1.0,1.0,564.0,63.0
15Chris GodwinTB,WR,14.0,98.0,127.0,1103.0,11.3,5.0,44.0,15.0,78.8,2.0,2.0,586.0,55.0
16CeeDee LambDAL,WR,16.0,79.0,120.0,1102.0,13.9,6.0,49.0,20.0,68.9,0.0,0.0,441.0,54.0
17Tee HigginsCIN,WR,14.0,74.0,110.0,1091.0,14.7,6.0,54.0,17.0,77.9,1.0,1.0,290.0,53.0
18Michael Pittman Jr.IND,WR,17.0,88.0,129.0,1082.0,12.3,6.0,57.0,12.0,63.6,1.0,0.0,348.0,54.0
19Darnell MooneyCHI,WR,17.0,81.0,140.0,1055.0,13.0,4.0,64.0,14.0,62.1,0.0,0.0,381.0,49.0
20Terry McLaurinWSH,WR,17.0,77.0,130.0,1053.0,13.7,5.0,46.0,15.0,61.9,0.0,0.0,317.0,47.0
21Hunter RenfrowLV,WR,17.0,103.0,128.0,1038.0,10.1,9.0,54.0,10.0,61.1,1.0,1.0,452.0,51.0
22Brandin CooksHOU,WR,16.0,90.0,134.0,1037.0,11.5,6.0,52.0,12.0,64.8,0.0,0.0,357.0,45.0
23Mike EvansTB,WR,16.0,74.0,114.0,1035.0,14.0,14.0,46.0,20.0,64.7,0.0,0.0,259.0,56.0
24Kyle PittsATL,TE,17.0,68.0,110.0,1026.0,15.1,1.0,61.0,16.0,60.4,0.0,0.0,313.0,43.0
25Jaylen WaddleMIA,WR,16.0,104.0,140.0,1015.0,9.8,6.0,57.0,8.0,63.4,1.0,0.0,439.0,59.0
26Marquise BrownBAL,WR,16.0,91.0,146.0,1008.0,11.1,6.0,49.0,15.0,63.0,3.0,1.0,388.0,41.0
27Christian KirkARI,WR,17.0,77.0,103.0,982.0,12.8,5.0,50.0,16.0,57.8,0.0,0.0,243.0,44.0
28DK MetcalfSEA,WR,17.0,75.0,129.0,967.0,12.9,12.0,84.0,11.0,56.9,1.0,0.0,328.0,48.0
29DeVonta SmithPHI,WR,17.0,64.0,104.0,916.0,14.3,5.0,46.0,16.0,53.9,1.0,1.0,220.0,43.0
30Amon-Ra St. BrownDET,WR,17.0,90.0,119.0,912.0,10.1,5.0,37.0,11.0,53.6,0.0,0.0,424.0,48.0
31George KittleSF,TE,14.0,71.0,94.0,910.0,12.8,6.0,48.0,13.0,65.0,2.0,1.0,450.0,42.0
32A.J. BrownTEN,WR,13.0,63.0,105.0,869.0,13.8,5.0,57.0,10.0,66.8,0.0,0.0,248.0,45.0
33Jakobi MeyersNE,WR,17.0,83.0,126.0,866.0,10.4,2.0,39.0,12.0,50.9,1.0,1.0,222.0,42.0
34Amari CooperDAL,WR,15.0,68.0,104.0,865.0,12.7,8.0,41.0,15.0,57.7,1.0,0.0,235.0,45.0
35Chase ClaypoolPIT,WR,15.0,59.0,105.0,860.0,14.6,2.0,59.0,13.0,57.3,0.0,0.0,295.0,36.0
36A.J. GreenARI,WR,16.0,54.0,92.0,848.0,15.7,3.0,42.0,16.0,53.0,0.0,0.0,181.0,37.0
37Marvin Jones Jr.JAX,WR,17.0,73.0,120.0,832.0,11.4,4.0,33.0,13.0,48.9,0.0,0.0,132.0,42.0
38Dallas GoedertPHI,TE,15.0,56.0,76.0,830.0,14.8,4.0,45.0,14.0,55.3,1.0,0.0,386.0,42.0
39Tyler BoydCIN,WR,16.0,67.0,94.0,828.0,12.4,5.0,68.0,10.0,51.8,1.0,0.0,389.0,37.0
40Brandon AiyukSF,WR,17.0,56.0,84.0,826.0,14.8,5.0,43.0,16.0,48.6,1.0,1.0,349.0,37.0
41Dalton SchultzDAL,TE,17.0,78.0,104.0,808.0,10.4,8.0,32.0,6.0,47.5,0.0,0.0,348.0,43.0
42Rob GronkowskiTB,TE,12.0,55.0,89.0,802.0,14.6,6.0,42.0,16.0,66.8,0.0,0.0,350.0,34.0
42Van JeffersonLAR,WR,17.0,50.0,89.0,802.0,16.0,6.0,79.0,12.0,47.2,0.0,0.0,216.0,32.0
44Kendrick BourneNE,WR,17.0,55.0,70.0,800.0,14.5,5.0,75.0,10.0,47.1,1.0,1.0,385.0,27.0
45Mike GesickiMIA,TE,17.0,73.0,112.0,780.0,10.7,2.0,40.0,12.0,45.9,0.0,0.0,221.0,39.0
46Courtland SuttonDEN,WR,17.0,58.0,98.0,776.0,13.4,2.0,55.0,9.0,45.6,0.0,0.0,135.0,35.0
47Russell GageATL,WR,14.0,66.0,94.0,770.0,11.7,4.0,49.0,8.0,55.0,2.0,2.0,253.0,37.0
68Zach ErtzARI/PHI,TE,17.0,74.0,112.0,763.0,10.3,5.0,47.0,7.0,44.9,0.0,0.0,340.0,40.0
48Tim PatrickDEN,WR,16.0,53.0,85.0,734.0,13.8,5.0,44.0,10.0,45.9,0.0,0.0,202.0,39.0
49Adam ThielenMIN,WR,13.0,67.0,95.0,726.0,10.8,10.0,35.0,14.0,55.8,1.0,0.0,239.0,37.0
