Name,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
1Jonathan TaylorIND,RB,17.0,332.0,1811.0,5.5,83.0,14.0,18.0,106.5,3.0,2.0,107.0
2Nick ChubbCLE,RB,14.0,228.0,1259.0,5.5,70.0,12.0,8.0,89.9,2.0,1.0,61.0
3Joe MixonCIN,RB,16.0,292.0,1205.0,4.1,32.0,6.0,13.0,75.3,1.0,1.0,60.0
4Najee HarrisPIT,RB,17.0,307.0,1200.0,3.9,37.0,6.0,7.0,70.6,0.0,0.0,62.0
5Dalvin CookMIN,RB,13.0,249.0,1159.0,4.7,66.0,9.0,6.0,89.2,3.0,2.0,57.0
6Antonio GibsonWSH,RB,16.0,258.0,1037.0,4.0,27.0,4.0,7.0,64.8,5.0,3.0,65.0
7Ezekiel ElliottDAL,RB,17.0,237.0,1002.0,4.2,47.0,3.0,10.0,58.9,1.0,1.0,55.0
8Elijah MitchellSF,RB,11.0,207.0,963.0,4.7,39.0,6.0,5.0,87.5,0.0,0.0,47.0
9Derrick HenryTEN,RB,8.0,219.0,937.0,4.3,76.0,3.0,10.0,117.1,1.0,0.0,49.0
10Damien HarrisNE,RB,15.0,202.0,929.0,4.6,64.0,8.0,15.0,61.9,2.0,2.0,55.0
11Melvin Gordon IIIDEN,RB,16.0,203.0,918.0,4.5,70.0,3.0,8.0,57.4,3.0,3.0,48.0
12Austin EkelerLAC,RB,16.0,206.0,911.0,4.4,28.0,3.0,12.0,56.9,0.0,0.0,53.0
13Javonte WilliamsDEN,RB,17.0,203.0,903.0,4.4,49.0,6.0,4.0,53.1,2.0,1.0,52.0
14Alvin KamaraNO,RB,13.0,240.0,898.0,3.7,30.0,3.0,4.0,69.1,0.0,0.0,42.0
15Josh JacobsLV,RB,15.0,217.0,872.0,4.0,28.0,2.0,9.0,58.1,2.0,2.0,45.0
16Devin SingletaryBUF,RB,17.0,188.0,870.0,4.6,46.0,6.0,7.0,51.2,2.0,0.0,44.0
17David MontgomeryCHI,RB,13.0,225.0,849.0,3.8,41.0,5.0,7.0,65.3,1.0,1.0,55.0
18Sony MichelLAR,RB,17.0,208.0,845.0,4.1,39.0,2.0,4.0,49.7,1.0,1.0,49.0
19Leonard FournetteTB,RB,14.0,180.0,812.0,4.5,47.0,5.0,8.0,58.0,0.0,0.0,45.0
20AJ DillonGB,RB,17.0,187.0,803.0,4.3,36.0,2.0,5.0,47.2,1.0,1.0,50.0
21Aaron JonesGB,RB,15.0,171.0,799.0,4.7,57.0,5.0,4.0,53.3,1.0,1.0,37.0
22Jalen HurtsPHI,QB,15.0,139.0,784.0,5.6,31.0,7.0,10.0,52.3,4.0,1.0,56.0
23Lamar JacksonBAL,QB,12.0,133.0,767.0,5.8,31.0,5.0,2.0,63.9,4.0,2.0,48.0
23James RobinsonJAX,RB,14.0,164.0,767.0,4.7,58.0,4.0,8.0,54.8,2.0,2.0,41.0
25Josh AllenBUF,QB,17.0,122.0,763.0,6.3,34.0,9.0,6.0,44.9,5.0,2.0,53.0
26Miles SandersPHI,RB,12.0,137.0,754.0,5.5,38.0,7.0,0.0,62.8,1.0,1.0,33.0
27James ConnerARI,RB,15.0,202.0,752.0,3.7,35.0,3.0,15.0,50.1,2.0,0.0,53.0
28Rashaad PennySEA,RB,10.0,119.0,749.0,6.3,62.0,11.0,6.0,74.9,0.0,0.0,28.0
29Tony PollardDAL,RB,15.0,130.0,719.0,5.5,58.0,4.0,2.0,47.9,0.0,0.0,35.0
30Darrell Henderson Jr.LAR,RB,12.0,149.0,688.0,4.6,29.0,1.0,5.0,57.3,0.0,0.0,39.0
31Michael CarterNYJ,RB,14.0,147.0,639.0,4.3,55.0,3.0,4.0,45.6,0.0,0.0,29.0
32Cordarrelle PattersonATL,RB,16.0,153.0,618.0,4.0,39.0,2.0,6.0,38.6,1.0,0.0,29.0
33D'Andre SwiftDET,RB,13.0,151.0,617.0,4.1,57.0,3.0,5.0,47.5,0.0,0.0,28.0
34Myles GaskinMIA,RB,17.0,173.0,612.0,3.5,30.0,2.0,3.0,36.0,2.0,1.0,25.0
34Chuba HubbardCAR,RB,17.0,172.0,612.0,3.6,26.0,3.0,5.0,36.0,1.0,1.0,36.0
36Rhamondre StevensonNE,RB,12.0,133.0,606.0,4.6,21.0,1.0,5.0,50.5,1.0,0.0,33.0
